ID_,ACCOUNT_,MAPPING_RULESET_,NUMBER_
95025b68-ba77-11e4-8dfc-aa07a5b093db,f009d724-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0930
ba625264-ba77-11e4-8dfc-aa07a5b093db,f009d990-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0940
ba6255fc-ba77-11e4-8dfc-aa07a5b093db,f009dada-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0960
ba625872-ba77-11e4-8dfc-aa07a5b093db,f009dc10-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0961
ba625ae8-ba77-11e4-8dfc-aa07a5b093db,f009dd32-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0962
ba625fc0-ba77-11e4-8dfc-aa07a5b093db,f009de5e-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0963
ba626baa-ba77-11e4-8dfc-aa07a5b093db,f009e12e-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0964
ba626952-ba77-11e4-8dfc-aa07a5b093db,f009e26e-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0970
ba6266e6-ba77-11e4-8dfc-aa07a5b093db,f009e4ee-ba6e-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0980
ba626484-ba77-11e4-8dfc-aa07a5b093db,3a600690-ba6f-11e4-8dfc-aa07a5b093db,3a6008f2-ba6f-11e4-8dfc-aa07a5b093db,0990
